id,case_id,title,href
22023,54925,"Oral Argument - February 26, 2001",https://api.oyez.org/case_media/oral_argument_audio/22023
22888,54926,"Oral Argument - April 24, 2001",https://api.oyez.org/case_media/oral_argument_audio/22888
22697,54927,"Oral Argument - November 27, 2000",https://api.oyez.org/case_media/oral_argument_audio/22697
22081,54928,"Oral Argument - March 27, 2001",https://api.oyez.org/case_media/oral_argument_audio/22081
22251,54930,"Oral Argument - October 02, 2000",https://api.oyez.org/case_media/oral_argument_audio/22251
21517,54931,"Oral Argument - December 05, 2000",https://api.oyez.org/case_media/oral_argument_audio/21517
21435,54932,"Oral Argument - April 18, 2001",https://api.oyez.org/case_media/oral_argument_audio/21435
21572,54933,"Oral Argument - January 09, 2001",https://api.oyez.org/case_media/oral_argument_audio/21572
21866,54934,"Oral Argument - April 18, 2001",https://api.oyez.org/case_media/oral_argument_audio/21866
22492,54935,"Oral Argument - February 28, 2001",https://api.oyez.org/case_media/oral_argument_audio/22492
21355,54936,"Oral Argument - November 01, 2000",https://api.oyez.org/case_media/oral_argument_audio/21355
21884,54937,"Oral Argument - October 02, 2000",https://api.oyez.org/case_media/oral_argument_audio/21884
21413,54938,"Oral Argument - December 04, 2000",https://api.oyez.org/case_media/oral_argument_audio/21413
22584,54939,"Oral Argument - April 23, 2001",https://api.oyez.org/case_media/oral_argument_audio/22584
22529,54940,"Oral Argument - February 20, 2001",https://api.oyez.org/case_media/oral_argument_audio/22529
22162,54941,"Oral Argument - December 05, 2000",https://api.oyez.org/case_media/oral_argument_audio/22162
21306,54944,"Oral Argument - October 02, 2001",https://api.oyez.org/case_media/oral_argument_audio/21306
23077,54946,"Oral Argument - January 15, 2002",https://api.oyez.org/case_media/oral_argument_audio/23077
22234,54947,"Oral Argument - November 07, 2001",https://api.oyez.org/case_media/oral_argument_audio/22234
21472,54948,"Oral Argument - December 04, 2001",https://api.oyez.org/case_media/oral_argument_audio/21472
21524,54949,"Oral Argument - October 31, 2001",https://api.oyez.org/case_media/oral_argument_audio/21524
22196,54950,"Oral Argument - February 26, 2002",https://api.oyez.org/case_media/oral_argument_audio/22196
21717,54951,"Oral Argument - October 29, 2001",https://api.oyez.org/case_media/oral_argument_audio/21717
22149,54952,"Oral Argument - March 20, 2002",https://api.oyez.org/case_media/oral_argument_audio/22149
21485,54953,"Oral Argument - February 20, 2002",https://api.oyez.org/case_media/oral_argument_audio/21485
21456,54954,"Oral Argument - February 27, 2002",https://api.oyez.org/case_media/oral_argument_audio/21456
22597,54956,"Oral Argument - December 05, 2001",https://api.oyez.org/case_media/oral_argument_audio/22597
23124,54957,"Oral Argument - February 19, 2002",https://api.oyez.org/case_media/oral_argument_audio/23124
22390,54958,"Oral Argument - April 16, 2002",https://api.oyez.org/case_media/oral_argument_audio/22390
22161,54959,"Oral Argument - March 18, 2002",https://api.oyez.org/case_media/oral_argument_audio/22161
22912,54960,"Oral Argument - March 18, 2002",https://api.oyez.org/case_media/oral_argument_audio/22912
21457,54961,"Oral Argument - March 20, 2002",https://api.oyez.org/case_media/oral_argument_audio/21457
22577,54962,"Oral Argument - March 19, 2002",https://api.oyez.org/case_media/oral_argument_audio/22577
21670,54963,"Oral Argument - December 03, 2001",https://api.oyez.org/case_media/oral_argument_audio/21670
22625,54964,"Oral Argument - November 26, 2001",https://api.oyez.org/case_media/oral_argument_audio/22625
21628,54965,"Oral Argument - March 25, 2002",https://api.oyez.org/case_media/oral_argument_audio/21628
21448,54966,"Oral Argument - February 19, 2002",https://api.oyez.org/case_media/oral_argument_audio/21448
21776,54967,"Oral Argument - November 28, 2001",https://api.oyez.org/case_media/oral_argument_audio/21776
21345,54968,"Oral Argument - February 25, 2002",https://api.oyez.org/case_media/oral_argument_audio/21345
21863,54969,"Oral Argument - November 05, 2001",https://api.oyez.org/case_media/oral_argument_audio/21863
21803,54970,"Oral Argument - April 15, 2002",https://api.oyez.org/case_media/oral_argument_audio/21803
22569,54971,"Oral Argument - January 16, 2002",https://api.oyez.org/case_media/oral_argument_audio/22569
22187,54972,"Oral Argument - December 03, 2001",https://api.oyez.org/case_media/oral_argument_audio/22187
22721,54975,"Oral Argument - October 31, 2001",https://api.oyez.org/case_media/oral_argument_audio/22721
22322,54976,"Oral Argument - October 10, 2001",https://api.oyez.org/case_media/oral_argument_audio/22322
22512,54978,"Oral Argument - October 01, 2001",https://api.oyez.org/case_media/oral_argument_audio/22512
22804,54979,"Oral Argument - February 27, 2002",https://api.oyez.org/case_media/oral_argument_audio/22804
22537,54980,"Oral Argument - January 14, 2002",https://api.oyez.org/case_media/oral_argument_audio/22537
23040,54981,"Oral Argument - October 09, 2001",https://api.oyez.org/case_media/oral_argument_audio/23040
21464,54982,"Oral Argument - January 16, 2002",https://api.oyez.org/case_media/oral_argument_audio/21464
23923,54983,Oral argument unavailable,https://api.oyez.org/case_media/oral_argument_audio/23923
24069,54984,No oral argument,https://api.oyez.org/case_media/oral_argument_audio/24069
22428,54985,"Oral Argument - January 15, 2002",https://api.oyez.org/case_media/oral_argument_audio/22428
22826,54986,"Oral Argument - November 07, 2001",https://api.oyez.org/case_media/oral_argument_audio/22826
23018,54987,"Oral Argument - March 19, 2002",https://api.oyez.org/case_media/oral_argument_audio/23018
22976,54988,"Oral Argument - October 30, 2001",https://api.oyez.org/case_media/oral_argument_audio/22976
23191,54989,"Oral Argument - January 08, 2002",https://api.oyez.org/case_media/oral_argument_audio/23191
22772,54990,"Oral Argument - April 22, 2002",https://api.oyez.org/case_media/oral_argument_audio/22772
23510,54991,"Oral Argument - April 17, 2002",https://api.oyez.org/case_media/oral_argument_audio/23510
