ID,name,href,docket_number,term
60054,Shelton v. Tucker,https://api.oyez.org/cases/1960/14,14,1960
60055,Stewart v. United States,https://api.oyez.org/cases/1960/143,143,1960
60056,Jarecki v. G. D. Searle & Company,https://api.oyez.org/cases/1960/151,151,1960
60057,Coppola v. United States,https://api.oyez.org/cases/1960/153,153,1960
60058,Michigan National Bank v. Michigan,https://api.oyez.org/cases/1960/155,155,1960
60059,Culombe v. Connecticut,https://api.oyez.org/cases/1960/161,161,1960
60060,Burton v. Wilmington Parking Authority,https://api.oyez.org/cases/1960/164,164,1960
60062,Smith v. Bennett,https://api.oyez.org/cases/1960/174,174,1960
60063,Chapman v. United States,https://api.oyez.org/cases/1960/175,175,1960
60064,Saldana v. United States,https://api.oyez.org/cases/1960/176,176,1960
60065,United States v. John Hancock Mutual Life Insurance Company,https://api.oyez.org/cases/1960/18,18,1960
60066,Payne v. Madigan,https://api.oyez.org/cases/1960/180,180,1960
60067,Reck v. Pate,https://api.oyez.org/cases/1960/181,181,1960
60068,Wilson v. Schnettler,https://api.oyez.org/cases/1960/182,182,1960
60069,Maynard v. Durham & Southern Railway Company,https://api.oyez.org/cases/1960/183,183,1960
60070,Baldonado v. California,https://api.oyez.org/cases/1960/185,185,1960
60071,Montana v. Kennedy,https://api.oyez.org/cases/1960/198,198,1960
60074,Lathrop v. Donohue,https://api.oyez.org/cases/1960/200,200,1960
60075,"Eli Lilly & Company v. Sav-on-Drugs, Inc.",https://api.oyez.org/cases/1960/203,203,1960
60076,"Aro Manufacturing Company, Inc. v. Convertible Top Replacement Company, Inc.",https://api.oyez.org/cases/1960/21,21,1960
60077,"Moses Lake Homes, Inc. v. Grant County",https://api.oyez.org/cases/1960/212,212,1960
60078,"Schnell v. Peter Eckrich & Sons, Inc.",https://api.oyez.org/cases/1960/219,219,1960
60079,Chaunt v. United States,https://api.oyez.org/cases/1960/22,22,1960
60080,"Marcus v. Search Warrant of Property at 104 East Tenth Street, Kansas City, Missouri",https://api.oyez.org/cases/1960/225,225,1960
60081,Knetsch v. United States,https://api.oyez.org/cases/1960/23,23,1960
60082,Deutch v. United States,https://api.oyez.org/cases/1960/233,233,1960
60083,Mapp v. Ohio,https://api.oyez.org/cases/1960/236,236,1960
60084,Lott v. United States,https://api.oyez.org/cases/1960/238,238,1960
60085,United States v. Hougham,https://api.oyez.org/cases/1960/24,24,1960
60086,"Bulova Watch Company, Inc. v. United States",https://api.oyez.org/cases/1960/241,241,1960
60087,Polites v. United States,https://api.oyez.org/cases/1960/25,25,1960
60088,"H. K. Porter Company, Inc. v. Central Vermont Railway, Inc.",https://api.oyez.org/cases/1960/257,257,1960
60089,United States v. Mississippi Valley Generating Company,https://api.oyez.org/cases/1960/26,26,1960
60090,"Goldberg v. Whitaker House Cooperative, Inc.",https://api.oyez.org/cases/1960/274,274,1960
60092,Konigsberg v. State Bar of California,https://api.oyez.org/cases/1960/28,28,1960
60093,"International Ladies' Garment Workers' Union, AFL-CIO v. National Labor Relations Board",https://api.oyez.org/cases/1960/284,284,1960
60094,American Automobile Association v. United States,https://api.oyez.org/cases/1960/288,288,1960
60095,Reina v. United States,https://api.oyez.org/cases/1960/29,29,1960
60096,Louisiana ex rel. Gremillion v. NAACP,https://api.oyez.org/cases/1960/294,294,1960
60098,"Chicago, Milwaukee, St. Paul & Pacific Railroad Co v. United States",https://api.oyez.org/cases/1960/306,306,1960
60100,"Michalic v. Cleveland Tankers, Inc.",https://api.oyez.org/cases/1960/31,31,1960
60101,Smith v. Butler,https://api.oyez.org/cases/1960/313,313,1960
60102,"Power Reactor Development Company v. International Union of Electrical, Radio and Machine Workers, AFL-CIO",https://api.oyez.org/cases/1960/315,315,1960
60103,Gomillion v. Lightfoot,https://api.oyez.org/cases/1960/32,32,1960
60104,"Local 761, International Union of Electrical, Radio & Machine Workers, AFL-CIO v. National Labor Relations Board",https://api.oyez.org/cases/1960/321,321,1960
60105,"Dayton Rubber Co. v. Cordovan Associates, Inc.",https://api.oyez.org/cases/1960/324,324,1960
60106,Anderson v. Alabama,https://api.oyez.org/cases/1960/326,326,1960
60107,United States v. Oregon,https://api.oyez.org/cases/1960/329,329,1960
60108,McPhaul v. United States,https://api.oyez.org/cases/1960/33,33,1960
60110,Uphaus v. Wyman,https://api.oyez.org/cases/1960/336,336,1960
60111,"National Labor Relations Board v. News Syndicate Company, Inc.",https://api.oyez.org/cases/1960/339,339,1960
60112,Times Film Corporation v. City of Chicago,https://api.oyez.org/cases/1960/34,34,1960
60113,"International typographical Union, AFL-CIO v. National Labor Relations Board",https://api.oyez.org/cases/1960/340,340,1960
60115,"Waterman Steamship Corporation v. Dugan & McNamara, Inc.",https://api.oyez.org/cases/1960/35,35,1960
60116,"United States v. Consolidated Edison Company of New York, Inc.",https://api.oyez.org/cases/1960/357,357,1960
60117,"Two Guys from Harrison-Allentown, Inc. v. McGinley",https://api.oyez.org/cases/1960/36,36,1960
60118,Wilkinson v. United States,https://api.oyez.org/cases/1960/37,37,1960
60119,Torcaso v. Watkins,https://api.oyez.org/cases/1960/373,373,1960
60120,Commissioner v. Lester,https://api.oyez.org/cases/1960/376,376,1960
60121,"New York, New Haven & Hartford Railroad Company v. Henagan",https://api.oyez.org/cases/1960/38,38,1960
60122,Verret v. Oil Transport Co.,https://api.oyez.org/cases/1960/388,388,1960
60123,Monroe v. Pape,https://api.oyez.org/cases/1960/39,39,1960
60124,United States v. Shimer,https://api.oyez.org/cases/1960/392,392,1960
60126,Rogers v. Richmond,https://api.oyez.org/cases/1960/40,40,1960
60128,Irvin v. Dowd,https://api.oyez.org/cases/1960/41,41,1960
60129,Small Business Adm'n v. McClellan,https://api.oyez.org/cases/1960/42,42,1960
60130,Thomas v. Virginia,https://api.oyez.org/cases/1960/43,43,1960
60132,Ferguson v. Georgia,https://api.oyez.org/cases/1960/44,44,1960
60133,Federal Power Commission v. Transcontinental Gas Pipe Line Corporation,https://api.oyez.org/cases/1960/45,45,1960
60135,Callanan v. United States,https://api.oyez.org/cases/1960/47,47,1960
60136,Horton v. Liberty Mutual Insurance Company,https://api.oyez.org/cases/1960/478,478,1960
60137,System Federation v. Wright,https://api.oyez.org/cases/1960/48,48,1960
60140,Gori v. United States,https://api.oyez.org/cases/1960/486,486,1960
60141,United States v. Virginia Electric & Power Company,https://api.oyez.org/cases/1960/49,49,1960
60142,"Civil Aeronautics Board v. Delta Air Lines, Inc.",https://api.oyez.org/cases/1960/492,492,1960
60143,"Communist Party, U. S. A. v. Catherwood",https://api.oyez.org/cases/1960/495,495,1960
60144,"Eastern Railroad Presidents Conference v. Noerr Motor Freight, Inc.",https://api.oyez.org/cases/1960/50,50,1960
60146,Binks Mfg. Co. v. Ransburg Electro-Coating Corp.,https://api.oyez.org/cases/1960/501,501,1960
60149,McNeal v. Culver,https://api.oyez.org/cases/1960/52,52,1960
60150,"United States v. Parke, Davis & Company",https://api.oyez.org/cases/1960/526,526,1960
60151,Campbell v. United States,https://api.oyez.org/cases/1960/53,53,1960
60152,United States v. Neustadt,https://api.oyez.org/cases/1960/533,533,1960
60154,Braden v. United States,https://api.oyez.org/cases/1960/54,54,1960
60155,United States v. E.I. du Pont de Nemours & Company,https://api.oyez.org/cases/1960/55,55,1960
60156,"Sam Fox Publishing Company, Inc. v. United States",https://api.oyez.org/cases/1960/56,56,1960
60157,Bushnell v. Ellis,https://api.oyez.org/cases/1960/561,561,1960
60158,United States v. Lucchese,https://api.oyez.org/cases/1960/57,57,1960
60159,In re Anastaplo,https://api.oyez.org/cases/1960/58,58,1960
60161,Costello v. United States,https://api.oyez.org/cases/1960/59,59,1960
60162,Baker v. Carr,https://api.oyez.org/cases/1960/6,6,1960
60163,Poe v. Ullman,https://api.oyez.org/cases/1960/60,60,1960
60164,James v. United States,https://api.oyez.org/cases/1960/63,63,1960
60165,"Local 357, International Brotherhood of Teamsters, Chauffeurs, Warehousemen and Helpers of America v. National Labor Relations Board",https://api.oyez.org/cases/1960/64,64,1960
60166,Silverman v. United States,https://api.oyez.org/cases/1960/66,66,1960
60167,Lurk v. United States,https://api.oyez.org/cases/1960/669,669,1960
60168,Braunfeld v. Brown,https://api.oyez.org/cases/1960/67,67,1960
60171,"Local 60, United Brotherhood of Carpenters and Joiners of America, AFL-CIO v. National Labor Relations Board",https://api.oyez.org/cases/1960/68,68,1960
60172,Brotherhood of Maintenance of Way Employees v. United States,https://api.oyez.org/cases/1960/681,681,1960
60174,Conner v. Simler,https://api.oyez.org/cases/1960/685,685,1960
60175,"National Labor Relations Board v. Radio and Television Broadcast Engineers Union, Local 1212, International Brotherhood of Electrical Workers, AFL-CIO",https://api.oyez.org/cases/1960/69,69,1960
60178,Boynton v. Virginia,https://api.oyez.org/cases/1960/7,7,1960
60179,Green v. United States,https://api.oyez.org/cases/1960/70,70,1960
60181,Carbo v. United States,https://api.oyez.org/cases/1960/72,72,1960
60182,"Radiant Burners, Inc. v. Peoples Gas Light & Coke Company",https://api.oyez.org/cases/1960/73,73,1960
60183,National Labor Relations Board v. Mattison Machine Works,https://api.oyez.org/cases/1960/74,74,1960
60185,Bullock v. South Carolina,https://api.oyez.org/cases/1960/78,78,1960
60187,Milanovich v. United States,https://api.oyez.org/cases/1960/79,79,1960
60188,McGowan v. Maryland,https://api.oyez.org/cases/1960/8,8,1960
60189,Pan American Petroleum Corporation v. Superior Court of Delaware for New Castle County,https://api.oyez.org/cases/1960/80,80,1960
60193,Cohen v. Hurley,https://api.oyez.org/cases/1960/84,84,1960
60196,Tampa Electric Company v. Nashville Coal Company,https://api.oyez.org/cases/1960/87,87,1960
60197,Clancy v. United States,https://api.oyez.org/cases/1960/88,88,1960
60198,Noto v. United States,https://api.oyez.org/cases/1960/9,9,1960
